,interval,label,video_path,video_num
0,2:9 - 2:12,0,../data/short_videos/1/1_43.mp4,1
1,20:33 - 20:36,2,../data/short_videos/1/1_411.mp4,1
2,6:57 - 7:0,1,../data/short_videos/1/1_139.mp4,1
3,22:54 - 22:57,0,../data/short_videos/1/1_458.mp4,1
4,12:36 - 12:39,0,../data/short_videos/1/1_252.mp4,1
5,17:6 - 17:9,1,../data/short_videos/1/1_342.mp4,1
6,25:42 - 25:45,0,../data/short_videos/1/1_514.mp4,1
7,4:18 - 4:21,0,../data/short_videos/1/1_86.mp4,1
8,1:39 - 1:42,0,../data/short_videos/1/1_33.mp4,1
9,25:12 - 25:15,0,../data/short_videos/1/1_504.mp4,1
10,26:15 - 26:18,0,../data/short_videos/1/1_525.mp4,1
11,12:54 - 12:57,0,../data/short_videos/1/1_258.mp4,1
12,5:6 - 5:9,0,../data/short_videos/1/1_102.mp4,1
13,7:39 - 7:42,0,../data/short_videos/1/1_153.mp4,1
14,11:15 - 11:18,0,../data/short_videos/1/1_225.mp4,1
15,1:27 - 1:30,0,../data/short_videos/1/1_29.mp4,1
16,25:18 - 25:21,0,../data/short_videos/1/1_506.mp4,1
17,18:30 - 18:33,0,../data/short_videos/1/1_370.mp4,1
18,14:12 - 14:15,0,../data/short_videos/1/1_284.mp4,1
19,18:42 - 18:45,0,../data/short_videos/1/1_374.mp4,1
20,20:9 - 20:12,0,../data/short_videos/1/1_403.mp4,1
21,7:33 - 7:36,0,../data/short_videos/1/1_151.mp4,1
22,27:51 - 27:54,0,../data/short_videos/1/1_557.mp4,1
23,26:36 - 26:39,1,../data/short_videos/1/1_532.mp4,1
24,8:42 - 8:45,0,../data/short_videos/1/1_174.mp4,1
25,9:24 - 9:27,0,../data/short_videos/1/1_188.mp4,1
26,22:15 - 22:18,0,../data/short_videos/1/1_445.mp4,1
27,27:54 - 27:57,0,../data/short_videos/1/1_558.mp4,1
28,0:24 - 0:27,0,../data/short_videos/1/1_8.mp4,1
29,0:45 - 0:48,0,../data/short_videos/1/1_15.mp4,1
30,19:12 - 19:15,0,../data/short_videos/1/1_384.mp4,1
31,17:54 - 17:57,0,../data/short_videos/1/1_358.mp4,1
32,12:33 - 12:36,0,../data/short_videos/1/1_251.mp4,1
33,0:33 - 0:36,0,../data/short_videos/1/1_11.mp4,1
34,20:27 - 20:30,0,../data/short_videos/1/1_409.mp4,1
35,29:33 - 29:36,0,../data/short_videos/1/1_591.mp4,1
