Unnamed: 0,video_path,label
0,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_0.mp4,0
1,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_1.mp4,0
2,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_10.mp4,0
3,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_100.mp4,0
4,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_101.mp4,0
5,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_102.mp4,0
6,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_103.mp4,0
7,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_104.mp4,0
9,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_106.mp4,0
10,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_107.mp4,0
11,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_108.mp4,0
12,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_109.mp4,0
13,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_11.mp4,0
14,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_110.mp4,0
15,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_111.mp4,0
16,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_112.mp4,0
18,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_114.mp4,0
19,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_115.mp4,0
21,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_117.mp4,0
22,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_118.mp4,0
24,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_12.mp4,0
25,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_120.mp4,0
26,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_121.mp4,0
28,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_123.mp4,0
29,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_124.mp4,0
30,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_125.mp4,0
31,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_126.mp4,0
32,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_127.mp4,0
33,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_128.mp4,0
34,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_129.mp4,0
35,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_13.mp4,0
36,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_130.mp4,0
37,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_131.mp4,0
38,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_132.mp4,0
39,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_133.mp4,0
40,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_134.mp4,0
41,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_135.mp4,0
42,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_136.mp4,0
44,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_138.mp4,0
46,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_14.mp4,0
48,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_141.mp4,0
49,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_142.mp4,0
50,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_143.mp4,0
51,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_144.mp4,0
52,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_145.mp4,0
53,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_146.mp4,0
54,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_147.mp4,0
55,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_148.mp4,0
56,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_149.mp4,0
57,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_15.mp4,0
58,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_150.mp4,0
60,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_152.mp4,0
61,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_153.mp4,0
62,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_154.mp4,0
63,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_155.mp4,0
64,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_156.mp4,0
65,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_157.mp4,0
66,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_158.mp4,0
67,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_159.mp4,0
68,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_16.mp4,0
69,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_160.mp4,0
70,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_161.mp4,0
71,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_162.mp4,0
73,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_164.mp4,0
74,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_165.mp4,0
75,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_166.mp4,0
76,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_167.mp4,0
77,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_168.mp4,0
78,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_169.mp4,0
79,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_17.mp4,0
80,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_170.mp4,0
81,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_171.mp4,0
82,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_172.mp4,0
83,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_173.mp4,0
84,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_174.mp4,0
85,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_175.mp4,0
86,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_176.mp4,0
87,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_177.mp4,0
88,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_178.mp4,0
89,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_179.mp4,0
90,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_18.mp4,0
91,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_180.mp4,0
92,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_181.mp4,0
93,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_182.mp4,0
94,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_183.mp4,0
95,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_184.mp4,0
96,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_185.mp4,0
97,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_186.mp4,0
98,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_187.mp4,0
99,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_188.mp4,0
100,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_189.mp4,0
101,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_19.mp4,0
102,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_190.mp4,0
103,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_191.mp4,0
104,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_192.mp4,0
105,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_193.mp4,0
106,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_194.mp4,0
107,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_195.mp4,0
108,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_196.mp4,0
109,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_197.mp4,0
110,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_198.mp4,0
111,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_199.mp4,0
112,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_2.mp4,0
113,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_20.mp4,0
114,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_200.mp4,0
115,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_201.mp4,0
116,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_202.mp4,0
117,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_203.mp4,0
118,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_204.mp4,0
119,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_205.mp4,0
120,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_206.mp4,0
121,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_207.mp4,0
122,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_208.mp4,0
123,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_209.mp4,0
124,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_21.mp4,0
125,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_210.mp4,0
126,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_211.mp4,0
127,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_212.mp4,0
128,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_213.mp4,0
129,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_214.mp4,0
130,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_215.mp4,0
131,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_216.mp4,0
132,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_217.mp4,0
133,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_218.mp4,0
134,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_219.mp4,0
135,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_22.mp4,0
136,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_220.mp4,0
137,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_221.mp4,0
139,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_223.mp4,0
140,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_224.mp4,0
141,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_225.mp4,0
142,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_226.mp4,0
143,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_227.mp4,0
144,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_228.mp4,0
145,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_229.mp4,0
146,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_23.mp4,0
147,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_230.mp4,0
148,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_231.mp4,0
149,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_232.mp4,0
150,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_233.mp4,0
151,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_234.mp4,0
153,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_236.mp4,0
154,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_237.mp4,0
155,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_238.mp4,0
156,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_239.mp4,0
157,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_24.mp4,0
158,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_240.mp4,0
159,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_241.mp4,0
160,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_242.mp4,0
161,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_243.mp4,0
162,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_244.mp4,0
163,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_245.mp4,0
164,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_246.mp4,0
166,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_248.mp4,0
167,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_249.mp4,0
168,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_25.mp4,0
169,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_250.mp4,0
170,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_251.mp4,0
171,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_252.mp4,0
172,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_253.mp4,0
173,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_254.mp4,0
174,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_255.mp4,0
175,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_256.mp4,0
176,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_257.mp4,0
177,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_258.mp4,0
178,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_259.mp4,0
179,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_26.mp4,0
180,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_260.mp4,0
181,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_261.mp4,0
182,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_262.mp4,0
183,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_263.mp4,0
184,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_264.mp4,0
185,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_265.mp4,0
186,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_266.mp4,0
187,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_267.mp4,0
188,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_268.mp4,0
189,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_269.mp4,0
190,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_27.mp4,0
192,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_271.mp4,0
194,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_273.mp4,0
195,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_274.mp4,0
196,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_275.mp4,0
197,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_276.mp4,0
198,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_277.mp4,0
200,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_279.mp4,0
201,/home/test/hdd/Dataset/pig_anomaly/short_videos/KIRC/Desktop\pig_aggression_short\1\1_28.mp4,0
