interval,label,video_path,video_num
2:9 - 2:12,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_43.mp4,1
20:33 - 20:36,2,../../hdd/Dataset/pig_anomaly/short_videos/1/1_411.mp4,1
6:57 - 7:0,1,../../hdd/Dataset/pig_anomaly/short_videos/1/1_139.mp4,1
22:54 - 22:57,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_458.mp4,1
12:36 - 12:39,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_252.mp4,1
17:6 - 17:9,1,../../hdd/Dataset/pig_anomaly/short_videos/1/1_342.mp4,1
25:42 - 25:45,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_514.mp4,1
4:18 - 4:21,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_86.mp4,1
1:39 - 1:42,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_33.mp4,1
25:12 - 25:15,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_504.mp4,1
26:15 - 26:18,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_525.mp4,1
12:54 - 12:57,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_258.mp4,1
5:6 - 5:9,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_102.mp4,1
7:39 - 7:42,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_153.mp4,1
11:15 - 11:18,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_225.mp4,1
1:27 - 1:30,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_29.mp4,1
25:18 - 25:21,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_506.mp4,1
18:30 - 18:33,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_370.mp4,1
14:12 - 14:15,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_284.mp4,1
18:42 - 18:45,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_374.mp4,1
20:9 - 20:12,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_403.mp4,1
7:33 - 7:36,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_151.mp4,1
27:51 - 27:54,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_557.mp4,1
26:36 - 26:39,1,../../hdd/Dataset/pig_anomaly/short_videos/1/1_532.mp4,1
8:42 - 8:45,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_174.mp4,1
9:24 - 9:27,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_188.mp4,1
22:15 - 22:18,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_445.mp4,1
27:54 - 27:57,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_558.mp4,1
0:24 - 0:27,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_8.mp4,1
0:45 - 0:48,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_15.mp4,1
19:12 - 19:15,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_384.mp4,1
17:54 - 17:57,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_358.mp4,1
12:33 - 12:36,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_251.mp4,1
0:33 - 0:36,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_11.mp4,1
20:27 - 20:30,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_409.mp4,1
29:33 - 29:36,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_591.mp4,1
9:48 - 9:51,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_196.mp4,1
24:36 - 24:39,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_492.mp4,1
1:51 - 1:54,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_37.mp4,1
20:36 - 20:39,2,../../hdd/Dataset/pig_anomaly/short_videos/1/1_412.mp4,1
3:9 - 3:12,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_63.mp4,1
24:3 - 24:6,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_481.mp4,1
26:33 - 26:36,1,../../hdd/Dataset/pig_anomaly/short_videos/1/1_531.mp4,1
10:39 - 10:42,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_213.mp4,1
8:36 - 8:39,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_172.mp4,1
8:48 - 8:51,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_176.mp4,1
21:36 - 21:39,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_432.mp4,1
24:33 - 24:36,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_491.mp4,1
9:21 - 9:24,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_187.mp4,1
18:54 - 18:57,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_378.mp4,1
23:39 - 23:42,1,../../hdd/Dataset/pig_anomaly/short_videos/1/1_473.mp4,1
12:18 - 12:21,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_246.mp4,1
23:21 - 23:24,1,../../hdd/Dataset/pig_anomaly/short_videos/1/1_467.mp4,1
10:18 - 10:21,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_206.mp4,1
13:48 - 13:51,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_276.mp4,1
15:45 - 15:48,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_315.mp4,1
28:21 - 28:24,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_567.mp4,1
18:27 - 18:30,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_369.mp4,1
20:39 - 20:42,2,../../hdd/Dataset/pig_anomaly/short_videos/1/1_413.mp4,1
26:42 - 26:45,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_534.mp4,1
28:9 - 28:12,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_563.mp4,1
18:21 - 18:24,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_367.mp4,1
18:33 - 18:36,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_371.mp4,1
21:45 - 21:48,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_435.mp4,1
29:39 - 29:42,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_593.mp4,1
12:45 - 12:48,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_255.mp4,1
11:30 - 11:33,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_230.mp4,1
27:24 - 27:27,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_548.mp4,1
26:12 - 26:15,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_524.mp4,1
4:48 - 4:51,0,../../hdd/Dataset/pig_anomaly/short_videos/1/1_96.mp4,1
